id,child,trial,age,year_group,competition_order,age_group,country,gender,cost,competition,relation,fairness,allocation,justification
C2E01,1,1,54,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Uncodable
C2E02,2,1,53,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Conduct
C2E03,3,1,51,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C2E04,4,1,48,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Conduct
C2E05,5,1,53,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Desire
C2E06,6,1,52,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E07,7,1,50,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E08,8,1,48,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Conduct
C2E09,9,1,52,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C2E10,10,1,53,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
C2E11,11,1,44,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Uncodable
C2E12,12,1,47,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E13,13,1,48,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Uncodable
C2E14,14,1,51,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Affiliation
C2E15,15,1,49,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E16,16,1,51,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E17,17,1,49,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Conduct
C2E18,18,1,48,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E19,19,1,48,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Uncodable
C2E20,20,1,52,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C2E21,21,1,54,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Affiliation
C2E22,22,1,53,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2E23,23,1,47,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C2E24,24,1,60,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Affiliation
C2E25,25,1,50,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Conduct
C2C01,26,1,50,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C2C02,27,1,53,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C2C03,28,1,53,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C04,29,1,52,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C05,30,1,53,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C06,31,1,49,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C2C07,32,1,50,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Conduct
C2C08,33,1,52,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Affiliation
C2C09,34,1,48,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C10,35,1,49,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Conduct
C2C11,36,1,46,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C2C12,37,1,46,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Desire
C2C13,38,1,53,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Desire
C2C14,39,1,53,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C15,40,1,48,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Affiliation
C2C16,41,1,49,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C17,42,1,47,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C2C18,43,1,51,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C19,44,1,48,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2C20,45,1,42,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C21,46,1,52,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Conduct
C2C23,47,1,38,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C2C22,48,1,47,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C2C24,49,1,44,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C2C25,50,1,44,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
C2E26,51,1,44,Jonior,competition first,Younger,CN,Female,Cost,Competition,Friend,Fair,Fair,Affiliation
C2C26,52,1,47,Jonior,control first,Younger,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C2E27,53,1,41,Jonior,competition first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Affiliation
C2C27,54,1,44,Jonior,control first,Younger,CN,Male,Cost,Competition,Friend,Fair,Fair,Affiliation
C4E01,55,1,69,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4E02,56,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4E03,57,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4E04,58,1,70,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E05,59,1,70,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E06,60,1,70,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Desire
C4E07,61,1,70,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E08,62,1,75,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E09,63,1,74,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4E10,64,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4E11,65,1,70,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E12,66,1,69,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4E13,67,1,76,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Conduct
C4E14,68,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4E15,69,1,73,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E16,70,1,73,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4E17,71,1,76,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C4E18,72,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4E19,73,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4E20,74,1,75,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4E21,75,1,73,Senior,competition first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4E22,76,1,73,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFdis,Norm
C4E23,77,1,72,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Uncodable
C4E24,78,1,72,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4E25,79,1,77,Senior,competition first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4C01,80,1,72,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4C02,81,1,75,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4C03,82,1,74,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C04,83,1,71,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4C05,84,1,69,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C06,85,1,71,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C4C07,86,1,75,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C4C08,87,1,73,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4C09,88,1,70,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4C10,89,1,71,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C11,90,1,72,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4C12,91,1,69,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C4C13,92,1,72,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4C14,93,1,75,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4C15,94,1,74,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C4C16,95,1,73,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4C17,96,1,73,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C18,97,1,79,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4C19,98,1,78,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C20,99,1,78,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Unfair,UFdis,Affiliation
C4C21,100,1,78,Senior,control first,Older,CN,Male,Cost,Competition,Friend,Fair,Fair,Norm
C4C22,101,1,77,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Unfair,UFad,Desire
C4C23,102,1,77,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C24,103,1,75,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
C4C25,104,1,73,Senior,control first,Older,CN,Female,Cost,Competition,Friend,Fair,Fair,Norm
U4001,105,1,64,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Uncodable
U4002,106,1,68,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4003,107,1,64,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Fair,Fair,Norm
U4004,108,1,73,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Fair,Fair,Norm
U4005,109,1,77,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4006,110,1,80,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4007,111,1,74,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4008,112,1,71,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4009,113,1,71,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4010,114,1,73,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4011,115,1,74,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
U4012,116,1,64,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Fair,UFad,Norm
U4013,117,1,66,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4014,118,1,63,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4015,119,1,63,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4016,120,1,64,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Fair,UFdis,Uncodable
U4017,121,1,68,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4018,122,1,60,Jonior,competition first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Affiliation
U4019,123,1,61,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4020,124,1,58,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4021,125,1,52,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4022,126,1,57,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4023,127,1,57,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4024,128,1,56,Jonior,competition first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4025,129,1,57,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4026,130,1,54,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Fair,UFad,Norm
U4027,131,1,54,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4028,132,1,55,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Fair,Fair,Uncodable
U4029,133,1,55,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4030,134,1,74,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Fair,Fair,Norm
U4031,135,1,66,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4032,136,1,57,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,Fair,Norm
U4033,137,1,62,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4034,138,1,56,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4035,139,1,53,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Fair,UFad,Affiliation
U4036,140,1,56,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Fair,Fair,Norm
U4037,141,1,61,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Fair,Fair,Norm
U4038,142,1,62,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4039,143,1,58,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4040,144,1,58,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4041,145,1,56,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4042,146,1,41,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,Fair,Norm
U4043,147,1,48,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Fair,Fair,Norm
U4044,148,1,55,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4045,149,1,59,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4046,150,1,82,Senior,control first,Older,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4047,151,1,54,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4048,152,1,53,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4049,153,1,53,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Affiliation
U4050,154,1,55,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Uncodable
U4051,155,1,55,Jonior,competition first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Affiliation
U4052,156,1,55,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4053,157,1,55,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4054,158,1,56,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4055,159,1,54,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFdis,Norm
U4056,160,1,62,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4057,161,1,62,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4058,162,1,60,Jonior,competition first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4059,163,1,53,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4060,164,1,56,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4061,165,1,57,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
U4062,166,1,58,Jonior,competition first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4063,167,1,61,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4064,168,1,61,Jonior,competition first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Affiliation
U4065,169,1,64,Jonior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4066,170,1,64,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4067,171,1,65,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4068,172,1,68,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4069,173,1,69,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4070,174,1,69,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
U4071,175,1,70,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4072,176,1,71,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4073,177,1,72,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4074,178,1,74,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4075,179,1,75,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
