id,child,age,year_group,competition_order,age_group,country,gender,fairness1,fairness2,fairness3,fairness4,fairness5,fairness6,fairness7,fairness8,allocation1,allocation2,allocation3,allocation4,allocation5,allocation6,allocation7,allocation8,justification1,justification2,justification3,justification4,justification5,justification6,justification7,justification8
C2E01,1,54,Jonior,competition first,Younger,CN,Female,unfair,unfair,fair,unfair,unfair,unfair,fair,fair,UFad,UFdis,Fair,UFdis,UFdis,UFdis,Fair,Fair,Uncodable,Uncodable,Uncodable,Uncodable,Desire,Uncodable,Uncodable,Uncodable
C2E02,2,53,Jonior,competition first,Younger,CN,Male,unfair,fair,unfair,unfair,fair,unfair,unfair,unfair,UFdis,Fair,UFad,UFdis,Fair,UFad,UFad,UFad,Conduct,Norm,Conduct,Conduct,Norm,Conduct,Desire,Desire
C2E03,3,51,Jonior,competition first,Younger,CN,Female,fair,unfair,unfair,fair,unfair,fair,unfair,fair,Fair,UFad,UFdis,Fair,UFad,Fair,UFdis,Fair,Norm,Desire,Desire,Uncodable,Desire,Desire,Desire,Desire
C2E04,4,48,Jonior,competition first,Younger,CN,Female,unfair,fair,unfair,fair,fair,fair,unfair,fair,UFad,Fair,UFad,Fair,Fair,Fair,UFad,Fair,Conduct,Norm,Conduct,Norm,Norm,Norm,Desire,Norm
C2E05,5,53,Jonior,competition first,Younger,CN,Female,fair,unfair,fair,fair,fair,unfair,fair,unfair,Fair,UFad,Fair,Fair,Fair,UFad,Fair,UFad,Desire,Conduct,Norm,Norm,Norm,Conduct,Norm,Conduct
C2E06,6,52,Jonior,competition first,Younger,CN,Male,unfair,fair,fair,fair,unfair,fair,fair,fair,UFad,Fair,Fair,Fair,UFad,Fair,Fair,Fair,Desire,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C2E07,7,50,Jonior,competition first,Younger,CN,Male,unfair,fair,unfair,fair,fair,fair,fair,fair,UFad,Fair,UFdis,Fair,Fair,Fair,Fair,Fair,Desire,Norm,Affiliation,Uncodable,Norm,Norm,Norm,Norm
C2E08,8,48,Jonior,competition first,Younger,CN,Male,unfair,fair,unfair,fair,fair,fair,fair,fair,UFdis,Fair,UFad,Fair,Fair,Fair,Fair,Fair,Conduct,Conduct,Affiliation,Conduct,Conduct,Conduct,Conduct,Conduct
C2E09,9,52,Jonior,competition first,Younger,CN,Female,unfair,fair,fair,fair,fair,unfair,fair,fair,UFdis,Fair,Fair,Fair,Fair,UFdis,Fair,Fair,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Conduct,Affiliation,Affiliation
C2E10,10,53,Jonior,competition first,Younger,CN,Male,unfair,fair,fair,fair,fair,fair,fair,fair,UFdis,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Desire,Affiliation,Desire,Desire,Norm,Norm,Desire,Desire
C2E11,11,44,Jonior,competition first,Younger,CN,Male,fair,fair,fair,unfair,unfair,unfair,unfair,unfair,Fair,Fair,Fair,UFdis,UFdis,UFdis,UFdis,UFdis,Uncodable,Affiliation,Uncodable,Desire,Affiliation,Affiliation,Desire,Desire
C2E12,12,47,Jonior,competition first,Younger,CN,Male,unfair,fair,unfair,unfair,unfair,unfair,unfair,unfair,UFad,Fair,UFad,UFad,UFad,UFad,UFad,UFad,Desire,Affiliation,Desire,Desire,Desire,Desire,Desire,Desire
C2E13,13,48,Jonior,competition first,Younger,CN,Male,unfair,fair,fair,unfair,fair,fair,fair,fair,UFad,Fair,Fair,UFad,Fair,Fair,Fair,Fair,Uncodable,Uncodable,Norm,Desire,Desire,Norm,Norm,Norm
C2E14,14,51,Jonior,competition first,Younger,CN,Male,fair,fair,unfair,unfair,fair,unfair,unfair,unfair,Fair,Fair,UFad,UFad,Fair,UFdis,UFad,UFad,Affiliation,Affiliation,Desire,Desire,Affiliation,Affiliation,Desire,Desire
C2E15,15,49,Jonior,competition first,Younger,CN,Male,unfair,unfair,unfair,fair,unfair,fair,fair,fair,UFad,UFad,UFad,Fair,UFad,Fair,Fair,Fair,Desire,Desire,Desire,Norm,Desire,Norm,Norm,Norm
C2E16,16,51,Jonior,competition first,Younger,CN,Male,unfair,fair,fair,fair,fair,fair,fair,fair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Desire,Affiliation,Desire,Norm,Norm,Norm,Desire,Desire
C2E17,17,49,Jonior,competition first,Younger,CN,Male,unfair,unfair,unfair,fair,fair,fair,fair,fair,UFad,UFdis,UFad,Fair,Fair,Fair,Fair,Fair,Conduct,Conduct,Affiliation,Affiliation,Conduct,Conduct,Affiliation,Conduct
C2E18,18,48,Jonior,competition first,Younger,CN,Male,unfair,fair,unfair,fair,unfair,fair,unfair,fair,UFad,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Desire,Norm,Desire,Norm,Desire,Norm,Desire,Norm
C2E19,19,48,Jonior,competition first,Younger,CN,Male,fair,unfair,fair,unfair,unfair,fair,unfair,unfair,Fair,UFdis,Fair,UFdis,UFdis,Fair,UFad,UFdis,Uncodable,Conduct,Norm,Norm,Desire,Norm,Desire,Desire
C2E20,20,52,Jonior,competition first,Younger,CN,Female,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C2E21,21,54,Jonior,competition first,Younger,CN,Female,fair,unfair,unfair,fair,fair,unfair,fair,unfair,Fair,UFad,UFad,Fair,Fair,UFdis,Fair,UFad,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation
C2E22,22,53,Jonior,competition first,Younger,CN,Male,fair,fair,unfair,fair,fair,fair,unfair,fair,Fair,Fair,UFdis,Fair,Fair,Fair,UFad,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Desire,Norm
C2E23,23,47,Jonior,competition first,Younger,CN,Female,unfair,fair,unfair,fair,fair,unfair,fair,unfair,UFad,Fair,UFad,Fair,Fair,UFad,Fair,UFdis,Desire,Conduct,Conduct,Conduct,Conduct,Desire,Norm,Norm
C2E24,24,60,Jonior,competition first,Younger,CN,Male,fair,unfair,fair,fair,fair,fair,unfair,fair,Fair,UFdis,Fair,Fair,Fair,Fair,UFdis,Fair,Affiliation,Norm,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation
C2E25,25,50,Jonior,competition first,Younger,CN,Male,unfair,fair,fair,unfair,fair,fair,unfair,unfair,UFdis,Fair,Fair,UFdis,Fair,Fair,UFdis,UFad,Conduct,Norm,Norm,Uncodable,Norm,Norm,Norm,Desire
C2C01,26,50,Jonior,control first,Younger,CN,Female,unfair,fair,fair,fair,fair,fair,fair,unfair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,UFdis,Desire,Norm,Norm,Norm,Norm,Norm,Norm,Desire
